student_id,full_name,email,phone,age,grade,city,school,enrolled_course,join_date,last_active,xp_points,lessons_completed,streak_days,quizzes_attempted,quiz_avg_score,badge,island_level,subscription_plan,referral_code,score_html_css,score_javascript,score_react,score_nodejs,score_express,score_mongodb,weakest_topic,strongest_topic,w01_active_days,w02_active_days,w03_active_days,w04_active_days,w05_active_days,w06_active_days,w07_active_days,w08_active_days,w09_active_days,w10_active_days,w11_active_days,w12_active_days,w13_active_days,w14_active_days,w15_active_days,w16_active_days,w17_active_days,w18_active_days,xp_w01,xp_w02,xp_w03,xp_w04,xp_w05,xp_w06,xp_w07,xp_w08,xp_w09,xp_w10,xp_w11,xp_w12,xp_w13,xp_w14,xp_w15,xp_w16,xp_w17,xp_w18,avg_daily_study_minutes,peak_study_hour,total_study_hours,longest_streak_ever,avg_quiz_attempts_per_lesson,days_enrolled,badge_rank,topic_avg,final_performance,risk_level,total_active_days,recent_active_days,activity_consistency,xp_growth,recent_xp_growth,engagement_score,learning_velocity,consistency_score,predicted_next_xp,ai_recommended_focus,ai_improvement_tip
LK0020,Varun Yadav,varun.yadav47@gmail.com,9358792217,12,6th,Gurugram,DAV Public School,MERN Stack Basics - Batch 6,2024-09-01,2025-01-16,3822,52,97,48,86.8,Innovator,4,Basic,LKVA6864,82.3,84.9,98.0,78.3,97.6,70.9,Mongodb,React,3.0,5.0,4.0,3.0,5.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,7.0,3.0,80.0,185.0,292.0,422.0,572.0,729.0,895.0,1067.0,1267.0,1476.0,1733.0,1991.0,2269.0,2553.0,2838.0,3163.0,3489.0,3822.0,19.6,8.0,32.0,114.0,0.92,137,4,85.33,86.21,Low Risk,98.0,22.0,5.444,3742.0,1269.0,76.11,39.0,86.93,5134.0,MongoDB,Great work! Keep maintaining your current study habits.
LK0021,Rahul Kumar,rahul.kumar44@gmail.com,9285956164,13,6th,Ahmedabad,Amity International School,MERN Stack Basics - Batch 6,2024-11-09,2025-02-19,1437,73,76,15,93.7,Champion,7,Basic,LKRA2474,83.8,78.4,99.0,86.2,80.8,99.0,Javascript,React,4.0,3.0,1.0,0.0,3.0,1.0,2.0,4.0,6.0,7.0,7.0,6.0,4.0,4.0,7.0,6.0,4.0,5.0,37.0,75.0,117.0,167.0,226.0,292.0,363.0,440.0,527.0,616.0,710.0,803.0,898.0,994.0,1090.0,1200.0,1312.0,1437.0,40.3,7.0,49.7,98.0,0.21,102,5,87.87,91.37,Low Risk,74.0,22.0,4.111,1400.0,443.0,48.22,19.42,74.4,1899.67,JavaScript,Great work! Keep maintaining your current study habits.
LK0022,Tanvi Yadav,tanvi.yadav81@gmail.com,9324271537,13,7th,Mumbai,The Shri Ram School,MERN Stack Basics - Batch 6,2024-03-19,2025-01-10,4977,45,91,6,48.0,Champion,2,Free,LKTA5380,47.6,70.5,33.6,27.7,66.1,31.0,Nodejs,Javascript,1.0,1.0,0.0,2.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,3.0,117.0,267.0,430.0,596.0,772.0,983.0,1225.0,1468.0,1732.0,2017.0,2303.0,2593.0,2909.0,3282.0,3695.0,4113.0,4542.0,4977.0,11.7,21.0,14.0,115.0,0.13,297,5,46.08,47.23,High Risk,72.0,19.0,4.0,4860.0,1695.0,56.38,69.12,76.43,6686.33,Node.js,Revise quiz topics daily. | Focus on Node.js to boost topic scores.
LK0023,Sai Verma,sai.verma56@gmail.com,9915972963,12,7th,Delhi,Delhi Public School,MERN Stack Basics - Batch 6,2025-05-30,2025-03-11,2555,3,37,48,59.0,Coder,1,Basic,LKSA1226,46.1,32.9,76.7,60.6,40.8,61.9,Javascript,React,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,7.0,4.0,4.0,6.0,6.0,45.0,107.0,198.0,299.0,409.0,531.0,662.0,808.0,957.0,1108.0,1269.0,1435.0,1602.0,1780.0,1964.0,2153.0,2345.0,2555.0,104.9,20.0,75.2,46.0,16.0,1,2,53.17,56.67,Medium Risk,43.0,20.0,2.389,2510.0,775.0,65.85,59.42,49.62,3343.0,JavaScript,Revise quiz topics daily. | Focus on JavaScript to boost topic scores.
LK0024,Rajan Srivastava,rajan.srivastava77@gmail.com,9315601367,14,8th,Bhopal,The Shri Ram School,MERN Stack Basics - Batch 7,2025-02-15,2025-05-17,2855,63,16,5,75.4,Champion,1,Free,LKRA7991,73.9,56.6,79.8,75.8,66.0,68.2,Javascript,React,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,61.0,136.0,224.0,321.0,422.0,542.0,662.0,796.0,942.0,1095.0,1259.0,1438.0,1653.0,1871.0,2092.0,2341.0,2593.0,2855.0,21.7,18.0,9.4,18.0,0.08,91,5,70.05,73.26,Medium Risk,26.0,21.0,1.444,2794.0,984.0,23.57,109.81,12.72,3872.33,JavaScript,Great work! Keep maintaining your current study habits.
LK0025,Harshit Mehta,harshit.mehta42@gmail.com,9904462659,12,6th,Pune,Modern School,MERN Stack Basics - Batch 6,2024-03-09,2025-06-21,2236,68,42,45,44.0,Champion,7,Free,LKHA4073,71.2,49.8,44.2,59.6,50.2,39.6,Mongodb,Html Css,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,6.0,5.0,7.0,6.0,5.0,6.0,43.0,106.0,169.0,244.0,325.0,410.0,528.0,657.0,792.0,930.0,1069.0,1212.0,1370.0,1532.0,1702.0,1877.0,2052.0,2236.0,5.0,18.0,3.9,52.0,0.66,469,5,52.43,47.37,High Risk,47.0,24.0,2.611,2193.0,704.0,46.32,47.57,54.8,2948.0,MongoDB,Revise quiz topics daily. | Focus on MongoDB to boost topic scores.
LK0026,Aryan Gupta,aryan.gupta23@gmail.com,9933327787,12,8th,Chandigarh,Ryan International School,MERN Stack Basics - Batch 8,2025-05-25,2025-05-27,3384,48,79,39,42.6,Explorer,3,Basic,LKAR3249,40.7,36.9,50.2,45.4,69.0,42.1,Javascript,Express,0.0,4.0,3.0,3.0,2.0,3.0,4.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,7.0,64.0,156.0,275.0,410.0,546.0,691.0,837.0,998.0,1176.0,1363.0,1564.0,1770.0,1989.0,2245.0,2514.0,2794.0,3088.0,3384.0,180.0,19.0,240.0,85.0,0.81,2,1,47.38,44.51,High Risk,80.0,20.0,4.444,3320.0,1139.0,83.36,42.3,80.08,4544.0,JavaScript,Revise quiz topics daily. | Focus on JavaScript to boost topic scores.
LK0027,Muskan Rastogi,muskan.rastogi93@gmail.com,9440930394,12,8th,Chandigarh,Springdales School,MERN Stack Basics - Batch 7,2024-04-03,2025-05-12,2079,72,30,20,39.1,Champion,8,Basic,LKMU9687,31.6,27.3,51.2,24.7,39.3,47.1,Nodejs,React,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,7.0,5.0,7.0,6.0,52.0,107.0,179.0,257.0,339.0,422.0,515.0,607.0,732.0,859.0,988.0,1120.0,1258.0,1399.0,1542.0,1701.0,1886.0,2079.0,25.1,18.0,14.2,39.0,0.28,404,5,36.87,38.21,High Risk,34.0,25.0,1.889,2027.0,680.0,32.28,61.15,32.87,2795.0,Node.js,Revise quiz topics daily. | Focus on Node.js to boost topic scores.
LK0028,Darsh Pandey,darsh.pandey92@gmail.com,9184141984,12,8th,Mumbai,Springdales School,MERN Stack Basics - Batch 7,2024-06-05,2025-03-05,2557,14,25,14,90.0,Explorer,7,Free,LKDA5319,99.0,76.3,98.2,72.0,78.8,89.2,Nodejs,Html Css,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,55.0,119.0,184.0,265.0,356.0,459.0,596.0,735.0,880.0,1031.0,1192.0,1356.0,1522.0,1697.0,1876.0,2082.0,2316.0,2557.0,5.0,7.0,2.0,29.0,1.0,273,1,85.58,88.23,Low Risk,24.0,19.0,1.333,2502.0,860.0,27.23,106.54,26.05,3465.0,Node.js,Great work! Keep maintaining your current study habits.
LK0029,Vivaan Nair,vivaan.nair24@gmail.com,9845506020,13,8th,Chandigarh,Springdales School,MERN Stack Basics - Batch 8,2024-12-12,2025-05-16,1378,54,110,23,34.3,Explorer,1,Free,LKVI4592,21.8,44.7,39.3,56.9,41.3,36.7,Html Css,Nodejs,2.0,3.0,5.0,5.0,6.0,5.0,6.0,6.0,4.0,7.0,7.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,25.0,55.0,95.0,141.0,186.0,241.0,308.0,380.0,458.0,542.0,637.0,734.0,836.0,939.0,1045.0,1156.0,1266.0,1378.0,18.2,10.0,27.6,114.0,0.43,155,1,40.12,36.63,High Risk,91.0,20.0,5.056,1353.0,439.0,50.29,15.14,87.46,1822.0,HTML & CSS,Revise quiz topics daily. | Focus on HTML & CSS to boost topic scores.
LK0030,Avni Kumar,avni.kumar26@gmail.com,9904208438,12,7th,Delhi,The Shri Ram School,MERN Stack Basics - Batch 8,2024-06-01,2025-05-24,3632,43,29,37,81.1,Innovator,5,Basic,LKAV8780,65.5,96.2,78.1,62.2,66.1,88.1,Nodejs,Javascript,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,7.0,4.0,5.0,4.0,100.0,224.0,371.0,519.0,691.0,874.0,1059.0,1245.0,1434.0,1626.0,1842.0,2061.0,2289.0,2526.0,2773.0,3033.0,3303.0,3632.0,5.0,13.0,2.7,36.0,0.86,357,4,76.03,79.07,Low Risk,32.0,20.0,1.778,3532.0,1106.0,45.39,113.5,40.3,4777.33,Node.js,Great work! Keep maintaining your current study habits.
LK0031,Ritvik Rastogi,ritvik.rastogi78@gmail.com,9351843453,11,6th,Indore,The Shri Ram School,MERN Stack Basics - Batch 6,2025-02-19,2025-03-19,100,10,97,14,93.1,Innovator,5,Free,LKRI7296,99.0,94.9,86.4,95.3,64.6,85.7,Express,Html Css,3.0,0.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,5.0,6.0,6.0,7.0,4.0,7.0,6.0,4.0,5.0,2.0,4.0,7.0,11.0,15.0,19.0,24.0,30.0,35.0,41.0,47.0,53.0,60.0,68.0,75.0,84.0,92.0,100.0,5.0,19.0,7.2,113.0,1.4,28,4,87.65,90.92,Low Risk,87.0,22.0,4.833,98.0,32.0,34.3,1.15,83.37,133.33,Express,Great work! Keep maintaining your current study habits.
LK0032,Ayaan Rao,ayaan.rao74@gmail.com,9427271354,12,6th,Kolkata,Ryan International School,MERN Stack Basics - Batch 7,2024-04-05,2025-01-24,1113,4,107,24,82.5,Builder,4,Basic,LKAY4996,77.6,60.6,85.2,48.1,99.0,73.8,Nodejs,Express,0.0,4.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,7.0,7.0,6.0,4.0,4.0,6.0,24.0,50.0,84.0,118.0,153.0,190.0,233.0,297.0,362.0,430.0,501.0,577.0,654.0,740.0,830.0,923.0,1017.0,1113.0,5.0,7.0,8.1,142.0,6.0,294,3,74.05,79.12,Low Risk,97.0,20.0,5.389,1089.0,373.0,44.59,11.47,83.59,1490.33,Node.js,Great work! Keep maintaining your current study habits.
